Name,Age,Nationality,Team,Category,Formats,AVG_Place,TTL_First,TTL_Top_Ten,TTL_Races_2023,AVG_T_Behind_First,XCOWCP,XCCWCP
Luke WILLIAMSON,22,United Kingdom,555 GRAVITY RACING,"['Men', 'Elite']",[],66,0,0,10,0,0,0
Ryan BRANNEN,21,United Kingdom,555 GRAVITY RACING,"['Men', 'Elite']",[],125,0,0,3,0,0,0
Douglas GOODWILL,20,United Kingdom,555 GRAVITY RACING,"['Men', 'Elite']",[],97,0,0,6,0,0,0
Nadine ELLECOSTA,25,Italy,ABETONE ANCILLOTTI VITTORIA FACTORY TEAM,"['Women', 'Elite']",['EDR'],14,0,1,6,0,0,0
Tommaso ACERBI,27,Italy,ABETONE ANCILLOTTI VITTORIA FACTORY TEAM,"['Men', 'Elite']",['EDR'],82,0,0,3,0,0,0
Tommaso FRANCARDO,27,Italy,ABETONE ANCILLOTTI VITTORIA FACTORY TEAM,"['Men', 'Elite']",['EDR'],37,0,2,8,0,0,0
Nicola GROTTI,24,Italy,ABETONE ANCILLOTTI VITTORIA FACTORY TEAM,"['Men', 'Elite']",['EDR'],92,0,0,2,0,0,0
Ceylin Del Carmen ALVARADO,26,Netherlands,ALPECIN-DECEUNINCK,"['Women', 'Elite']","['XCO', 'XCC']",40,0,0,3,0,0,0
Puck PIETERSE,22,Netherlands,ALPECIN-DECEUNINCK,"['Women', 'Elite']","['XCO', 'XCC']",3,4,16,16,0,0,0
Samuel GAZE,29,New Zealand,ALPECIN-DECEUNINCK,"['Men', 'Elite']","['XCO', 'XCC']",22,0,3,7,0,0,0
Ronja EIBL,25,Germany,ALPECIN-DECEUNINCK,"['Women', 'Elite']","['XCO', 'XCC']",34,0,0,7,0,0,0
Jente MICHELS,21,Belgium,ALPECIN-DECEUNINCK,"['Men', 'U23']","['XCO', 'XCC']",29,0,2,8,0,0,0
Noel NIEDERBERGER,29,Switzerland,BACKYARD RACING FACTORY TEAM,"['Men', 'Elite']",[],86,0,0,2,0,0,0
Janis LEHMANN,26,Switzerland,BACKYARD RACING FACTORY TEAM,"['Men', 'Elite']",[],71,0,0,5,0,0,0
Fabrizio SCHÜTZ,18,Switzerland,BACKYARD RACING FACTORY TEAM,"['Men', 'Junior']",[],43,0,0,4,0,0,0
Lasse KONECNY,21,United States,BEAR NATIONAL TEAM,"['Men', 'U23']","['XCO', 'XCC']",43,0,0,3,0,0,0
Daxton MOCK,23,United States,BEAR NATIONAL TEAM,"['U23', 'Men']","['XCO', 'XCC']",102,0,0,2,0,0,0
Cayden Parker,20,United States,BEAR NATIONAL TEAM,"['U23', 'Men']","['XCO', 'XCC']",57,0,0,5,0,0,0
Cobe FREEBURN,23,United States,BEAR NATIONAL TEAM,"['U23', 'Men']","['XCO', 'XCC']",0,0,0,0,0,0,0
Carson HAMPTON,21,United States,BEAR NATIONAL TEAM,"['Men', 'U23']","['XCO', 'XCC']",44,0,0,3,0,0,0
Jack Spranger,20,United States,BEAR NATIONAL TEAM,"['U23', 'Men']",[],67,0,0,4,0,0,0
Austin Beard,21,United States,BEAR NATIONAL TEAM,"['U23', 'Men']",[],68,0,0,2,0,0,0
Lucie URRUTY,28,France,BERRIA VITTORIA FACTORY TEAM,"['Women', 'Elite']","['XCO', 'XCC']",56,0,0,5,0,0,0
Jana CZECZINKAROVÁ,27,Czech Republic,BERRIA VITTORIA FACTORY TEAM,"['Women', 'Elite']","['XCO', 'XCC']",0,0,0,0,0,0,0
Léna GERAULT,29,France,BERRIA VITTORIA FACTORY TEAM,"['Women', 'Elite']","['XCO', 'XCC']",28,0,0,13,0,0,0
Sean Fincham,26,Canada,BERRIA VITTORIA FACTORY TEAM,"['Men', 'Elite']",[],58,0,0,8,0,0,0
Jana Czeczinkarová,27,Czech Republic,BERRIA VITTORIA FACTORY TEAM,"['Women', 'Elite']",[],60,0,0,6,0,0,0
Abigail HOGIE,26,United States,BEYOND RACING,"['Women', 'Elite']",[],28,0,0,5,0,0,0
Abigail  Hogie,26,United States,BEYOND RACING,"['Women', 'Elite']",[],0,0,0,0,0,0,0
Anna NEWKIRK,23,United States,BEYOND RACING,"['Women', 'Elite']",[],10,0,9,17,0,0,0
Pablo RODRIGUEZ GUEDE,31,Spain,BH COLOMA TEAM,"['Men', 'Elite']","['XCO', 'XCC']",0,0,0,0,0,0,0
Nuria BOSCH PICO,25,Spain,BH COLOMA TEAM,"['Women', 'Elite']","['XCO', 'XCC']",60,0,0,2,0,0,0
David VALERO SERRANO,36,Spain,BH COLOMA TEAM,"['Men', 'Elite']","['XCO', 'XCC']",0,0,0,0,0,0,0
Jofre CULLELL ESTAPE,25,Spain,BH COLOMA TEAM,"['Men', 'Elite']","['XCO', 'XCC']",29,0,0,14,0,0,0
Natalia FISCHER EGUSQUIZA,31,Spain,BH COLOMA TEAM,"['Women', 'Elite']","['XCO', 'XCC']",82,0,0,1,0,0,0
Rocio GARCIA MARTINEZ,27,Spain,BH COLOMA TEAM,"['Women', 'Elite']","['XCO', 'XCC']",0,0,0,0,0,0,0
Jofre CULLELL ESTAPE,25,Spain,BH COLOMA TEAM,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Catriel Soto,37,Argentina,BH COLOMA TEAM,"['Men', 'Elite']",[],86,0,0,4,0,0,0
Pablo Rodriguez Guede,31,Spain,BH COLOMA TEAM,"['Men', 'Elite']",[],51,0,0,7,0,0,0
David Valero,36,Spain,BH COLOMA TEAM,"['Men', 'Elite']",[],23,0,3,13,0,0,0
GARCIA MARTINEZ ROCIO DEL ALBA,27,Spain,BH COLOMA TEAM,"['Women', 'Elite']",[],41,0,0,9,0,0,0
Théo DEMARCIN,21,Belgium,BH- WALLONIE MTB TEAM,"['U23', 'Men']","['XCO', 'XCC']",80,0,0,6,0,0,0
Arne JANSSENS,24,Belgium,BH- WALLONIE MTB TEAM,"['Men', 'Elite']","['XCO', 'XCC']",52,0,0,3,0,0,0
Clement HORNY,24,Belgium,BH- WALLONIE MTB TEAM,"['Men', 'Elite']","['XCO', 'XCC']",74,0,0,6,0,0,0
Elia NASCARELLA,22,Switzerland,BIKE TEAM SOLOTHURN,"['U23', 'Men']","['XCO', 'XCC']",86,0,0,2,0,0,0
Yanick BINZ,20,Switzerland,BIKE TEAM SOLOTHURN,"['U23', 'Men']","['XCO', 'XCC']",102,0,0,1,0,0,0
Luca SCHÄTTI,24,Switzerland,BIKE TEAM SOLOTHURN,"['Men', 'Elite']","['XCO', 'XCC']",36,0,0,1,0,0,0
Nick BURKI,26,Switzerland,BIKE TEAM SOLOTHURN,"['Men', 'Elite']","['XCO', 'XCC']",70,0,0,4,0,0,0
Fabio PÜNTENER,25,Switzerland,BIKE TEAM SOLOTHURN,"['Men', 'Elite']","['XCO', 'XCC']",55,0,0,7,0,0,0
Marcel GUERRINI,30,Switzerland,BIXS PERFORMANCE RACE TEAM,"['Men', 'Elite']","['XCO', 'XCC']",19,0,5,15,0,0,0
Joel ROTH,25,Switzerland,BIXS PERFORMANCE RACE TEAM,"['Men', 'Elite']","['XCO', 'XCC']",28,0,1,15,0,0,0
Lukas FLÜCKIGER,40,Switzerland,BIXS PERFORMANCE RACE TEAM,"['Men', 'Elite']","['XCO', 'XCC']",0,0,0,0,0,0,0
Noëlle Buri,23,Switzerland,BIXS PERFORMANCE RACE TEAM,"['Women', 'U23']","['XCO', 'XCC']",4,1,15,16,0,0,0
Seraina LEUGGER,26,Switzerland,BIXS PERFORMANCE RACE TEAM,"['Women', 'Elite']","['XCO', 'XCC']",0,0,0,0,0,0,0
Seraina Leugger,26,Switzerland,BIXS PERFORMANCE RACE TEAM,"['Women', 'Elite']",[],37,0,0,5,0,0,0
Hugo DRECHOU,33,France,BUFF MEGAMO TEAM,"['Men', 'Elite']",['XCM'],21,0,1,3,0,0,0
Janina WÜST,30,Switzerland,BUFF MEGAMO TEAM,"['Women', 'Elite']",['XCM'],5,0,2,2,0,0,0
Peeter PRUUS,35,Estonia,BUFF MEGAMO TEAM,"['Men', 'Elite']",['XCM'],26,0,0,1,0,0,0
José DIAS,30,Portugal,BUFF MEGAMO TEAM,"['Men', 'Elite']",['XCM'],35,0,0,2,0,0,0
Ulan BASTOS GALINSKI,26,Brazil,CALOI HENRIQUE AVANCINI RACING,"['Men', 'Elite']","['XCO', 'XCC']",44,0,0,10,0,0,0
Henrique AVANCINI,35,Brazil,CALOI HENRIQUE AVANCINI RACING,"['Men', 'Elite']","['XCO', 'XCC']",37,0,0,9,0,0,0
Sabrina OLIVEIRA DA SILVA,22,Brazil,CALOI HENRIQUE AVANCINI RACING,"['U23', 'Women']","['XCO', 'XCC']",38,0,0,4,0,0,0
Cainã GUIMARÃES DE OLIVEIRA,22,Brazil,CALOI HENRIQUE AVANCINI RACING,"['U23', 'Men']","['XCO', 'XCC']",111,0,0,1,0,0,0
Iago GARAY TAMAYO,33,Spain,CANNONDALE ENDURO TEAM,"['Men', 'Elite']",['EDR'],46,0,0,2,0,0,0
Ella CONOLLY,26,United Kingdom,CANNONDALE ENDURO TEAM,"['Women', 'Elite']",['EDR'],5,0,4,5,0,0,0
Max BEAUPRE,24,United States,CANNONDALE ENDURO TEAM,"['Men', 'Elite']",['EDR'],70,0,0,7,0,0,0
Simon ANDREASSEN,27,Denmark,CANNONDALE FACTORY RACING,"['Men', 'Elite']","['XCO', 'XCC']",32,0,1,12,0,0,0
Alan HATHERLY,28,South Africa,CANNONDALE FACTORY RACING,"['Men', 'Elite']","['XCO', 'XCC']",13,0,8,15,0,0,0
Mona MITTERWALLNER,22,Austria,CANNONDALE FACTORY RACING,"['Women', 'Elite']","['XCO', 'XCC']",10,2,9,16,0,0,0
Charlie Aldridge,23,United Kingdom,CANNONDALE FACTORY RACING,"['Men', 'Elite']",[],22,0,4,14,0,0,0
Greete STEINBURG,33,Estonia,CANNONDALE VAS ARABAY,"['Women', 'Elite']",['XCM'],0,0,0,0,0,0,0
Roberto BOU MARTIN,31,Spain,CANNONDALE VAS ARABAY,"['Men', 'Elite']",['XCM'],11,0,0,1,0,0,0
Monica CALDERON MARTINEZ,37,Colombia,CANNONDALE VAS ARABAY,"['Women', 'Elite']",['XCM'],0,0,0,0,0,0,0
Ruben RUZAFA CUETO,40,Spain,CANNONDALE VAS ARABAY,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Francisco HERRERO CASAS,34,Spain,CANNONDALE VAS ARABAY,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Miguel MUÑOZ MORENO,32,Spain,CANNONDALE VAS ARABAY,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Raul BERMUDEZ ARJONA,26,Spain,CANNONDALE VAS ARABAY,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Josefina CASADEY,38,Argentina,CANNONDALE VAS ARABAY,"['Women', 'Elite']",['XCM'],73,0,0,2,0,0,0
Luca SCHWARZBAUER,28,Germany,CANYON CLLCTV,"['Men', 'Elite']","['XCO', 'XCC']",8,3,12,16,0,0,0
Thomas GRIOT,30,France,CANYON CLLCTV,"['Men', 'Elite']","['XCO', 'XCC']",13,0,7,16,0,0,0
Adair GUTIERREZ PRIETO,23,Mexico,CANYON CLLCTV,"['Men', 'U23']","['XCO', 'XCC']",31,0,4,12,0,0,0
Loana LECOMTE,25,France,CANYON CLLCTV,"['Women', 'Elite']","['XCO', 'XCC']",7,2,12,14,0,0,0
Line BURQUIER,21,France,CANYON CLLCTV,"['Women', 'Elite']","['XCO', 'XCC']",30,0,1,14,0,0,0
Thibaut Francois,20,France,CANYON CLLCTV,"['U23', 'Men']",[],50,0,0,8,0,0,0
Alexandre CURE,31,France,CANYON CLLCTV DAINESE,[],['E-EDR'],19,0,1,6,0,0,0
Alexis ICARDO,21,France,CANYON CLLCTV DAINESE,"['Men', 'U21']",['EDR'],6,1,7,8,0,0,0
Gloria SCARSI,24,Italy,CANYON CLLCTV DAINESE,"['Women', 'Elite']",['EDR'],8,1,12,16,0,0,0
Jesse MELAMED,32,Canada,CANYON CLLCTV FACTORY ENDURO TEAM,[],['EDR'],6,2,6,7,0,0,0
Dimitri TORDO,31,France,CANYON CLLCTV FACTORY ENDURO TEAM,[],['EDR'],14,0,2,8,0,0,0
José BORGES,34,Portugal,CANYON CLLCTV FACTORY ENDURO TEAM,[],['EDR'],17,1,2,8,0,0,0
Troy BROSNAN,31,Australia,CANYON CLLCTV FACTORY TEAM,"['Men', 'Elite']",[],13,0,11,24,0,0,0
Mille JOHNSET,23,Norway,CANYON CLLCTV FACTORY TEAM,"['Women', 'Elite']",[],0,0,0,0,0,0,0
Dante SILVA,22,United States,CANYON CLLCTV FACTORY TEAM,"['Men', 'Elite']",[],39,0,1,17,0,0,0
Luca SHAW,28,United States,CANYON CLLCTV FACTORY TEAM,"['Men', 'Elite']",[],16,0,7,23,0,0,0
Mille Johnset,23,Norway,CANYON CLLCTV FACTORY TEAM,"['Women', 'Elite']",[],8,0,16,20,0,0,0
Kaos SEAGRAVE,25,United Kingdom,CANYON CLLCTV FMD,"['Men', 'Elite']",[],141,0,0,1,0,0,0
Phoebe GALE,20,United Kingdom,CANYON CLLCTV FMD,"['Women', 'Elite']",[],10,0,11,18,0,0,0
Tahnee SEAGRAVE,29,United Kingdom,CANYON CLLCTV FMD,"['Women', 'Elite']",[],7,0,19,22,0,0,0
Rudi EICHHORN,18,United Kingdom,CANYON CLLCTV FMD,"['Men', 'Junior']",[],27,0,1,9,0,0,0
Oliver Zwar,29,Sweden,CANYON CLLCTV FMD,"['Men', 'Elite']",[],36,0,0,11,0,0,0
Henry KERR,24,Ireland,CANYON CLLCTV PIRELLI,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Rafaël PELLETIER,18,France,CANYON CLLCTV PIRELLI,"['Men', 'Junior']",[],18,0,4,8,0,0,0
Henri KIEFER,19,Germany,CANYON CLLCTV PIRELLI,"['Men', 'Junior']",[],0,0,0,0,0,0,0
Lucas LAGNEAU,18,France,CANYON CLLCTV PIRELLI,"['Men', 'Junior']",[],10,0,5,7,0,0,0
Loris Revelli,27,Italy,CANYON CLLCTV PIRELLI,"['Men', 'Elite']",[],28,0,1,10,0,0,0
Henri Kiefer,19,Germany,CANYON CLLCTV PIRELLI,"['Men', 'Junior']",[],2,2,6,6,0,0,0
Martin STOŠEK,30,Czech Republic,CANYON NORTHWAVE MTB TEAM,"['Men', 'Elite']",['XCM'],8,0,2,3,0,0,0
Petr VAKOČ,32,Czech Republic,CANYON NORTHWAVE MTB TEAM,"['Men', 'Elite']",['XCM'],66,0,0,1,0,0,0
Marc STUTZMANN,33,Switzerland,CANYON NORTHWAVE MTB TEAM,"['Men', 'Elite']",['XCM'],12,0,2,4,0,0,0
Andreas SEEWALD,33,Germany,CANYON NORTHWAVE MTB TEAM,"['Men', 'Elite']",['XCM'],6,0,2,3,0,0,0
Stefanie DOHRN,32,Germany,CANYON NORTHWAVE MTB TEAM,"['Women', 'Elite']",['XCM'],5,0,1,1,0,0,0
Marek RAUCHFUSS,34,Czech Republic,CESKA SPORITELNA - ACCOLADE CYCLING TEAM,"['Men', 'Elite']",['XCM'],9,0,1,1,0,0,0
Jaromír SKÁLA,26,Czech Republic,CESKA SPORITELNA - ACCOLADE CYCLING TEAM,"['Men', 'Elite']",['XCM'],50,0,0,2,0,0,0
Marek BARTŮNĚK,26,Czech Republic,CESKA SPORITELNA - ACCOLADE CYCLING TEAM,"['Men', 'Elite']",['XCM'],48,0,0,2,0,0,0
Karla ŠTĚPÁNOVÁ,33,Czech Republic,CESKA SPORITELNA - ACCOLADE CYCLING TEAM,"['Women', 'Elite']",['XCM'],40,0,1,2,0,0,0
Hannes LEHMANN,23,Germany,CHILI RACING BRIGADE,"['Men', 'Elite']",[],84,0,0,5,0,0,0
Robin NOVOTNÝ,20,Czech Republic,CHILI RACING BRIGADE,"['Men', 'Elite']",[],121,0,0,1,0,0,0
Leo FREUND,20,Austria,CHILI RACING BRIGADE,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Anna Charlotte GERMANN,26,Germany,CHILI RACING BRIGADE,"['Women', 'Elite']",[],22,0,0,2,0,0,0
Jamie EDMONDSON,23,United Kingdom,CHILI RACING BRIGADE,[],[],0,0,0,0,0,0,0
Jamie EDMONDSON,23,United Kingdom,CHILI RACING BRIGADE,"['Men', 'Elite']",[],63,0,0,6,0,0,0
Louis JEANDEL,26,France,COMMENCAL ENDURO PROJECT,"['Men', 'Elite']",['EDR'],24,0,3,8,0,0,0
Mathieu RUFFRAY,27,France,COMMENCAL ENDURO PROJECT,"['Men', 'Elite']",['E-EDR'],14,0,2,4,0,0,0
Alex RUDEAU,28,France,COMMENCAL ENDURO PROJECT,"['Men', 'Elite']",['EDR'],6,1,6,8,0,0,0
Guillaume LARBEYOU,30,France,COMMENCAL ENDURO PROJECT,"['Men', 'Elite']",['EDR'],37,0,0,5,0,0,0
Siel VAN DER VELDEN,21,Belgium,COMMENCAL IC PROCESS,"['Women', 'Elite']",[],17,0,0,6,0,0,0
Raphael INIGUEZ,21,France,COMMENCAL IC PROCESS,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Elliot Lees,30,United Kingdom,COMMENCAL IC PROCESS,"['Men', 'Elite']",[],140,0,0,5,0,0,0
Raphael Iniguez,21,France,COMMENCAL IC PROCESS,"['Men', 'Elite']",[],81,0,0,8,0,0,0
Hugo FRIXTALON,25,France,COMMENCAL IC STUDIO,"['Men', 'Elite']",[],43,0,0,8,0,0,0
Matteo INIGUEZ,23,France,COMMENCAL IC STUDIO,"['Men', 'Elite']",[],34,0,0,16,0,0,0
Thomas Estaque,28,France,COMMENCAL IC STUDIO,"['Men', 'Elite']",[],29,0,3,15,0,0,0
Erice VAN LEUVEN,18,New Zealand,COMMENCAL LES ORRES,"['Women', 'Junior']",[],2,6,14,14,0,0,0
Jack Piercy,20,United Kingdom,COMMENCAL LES ORRES,"['Men', 'Elite']",[],31,0,3,17,0,0,0
Antoine Vidal,23,France,COMMENCAL LES ORRES,"['Men', 'Elite']",[],27,0,1,21,0,0,0
Leo  Abella,19,France,COMMENCAL LES ORRES,"['Men', 'Junior']",[],14,1,8,14,0,0,0
Lisa Baumann,23,Switzerland,COMMENCAL LES ORRES,"['Women', 'Elite']",[],10,0,11,19,0,0,0
Gaëtan RUFFIN,33,France,COMMENCAL/MUC-OFF BY RIDING ADDICTION,"['Men', 'Elite']",[],75,0,0,1,0,0,0
Amaury PIERRON,28,France,COMMENCAL/MUC-OFF BY RIDING ADDICTION,"['Men', 'Elite']",[],57,0,0,1,0,0,0
Thibaut DAPRELA,23,France,COMMENCAL/MUC-OFF BY RIDING ADDICTION,"['Men', 'Elite']",[],11,1,8,14,0,0,0
Hugo MARINI,19,France,COMMENCAL/MUC-OFF BY RIDING ADDICTION,"['Men', 'Junior']",[],10,0,10,15,0,0,0
Daniel VAN DER WALT,23,South Africa,COMPUTER MANIA MTB RACING TEAM,"['Men', 'U23']","['XCO', 'XCC']",53,0,0,10,0,0,0
Johan VAN ZYL,23,South Africa,COMPUTER MANIA MTB RACING TEAM,"['U23', 'Men']","['XCO', 'XCC']",36,0,0,5,0,0,0
Tyler JACOBS,20,South Africa,COMPUTER MANIA MTB RACING TEAM,"['Women', 'U23']","['XCO', 'XCC']",27,0,0,5,0,0,0
Gee ATHERTON,39,United Kingdom,CONTINENTAL ATHERTON,"['Men', 'Elite']",[],99,0,0,1,0,0,0
Rachel ATHERTON,37,United Kingdom,CONTINENTAL ATHERTON,"['Women', 'Elite']",[],3,1,6,6,0,0,0
Jim MONRO,23,United Kingdom,CONTINENTAL ATHERTON,"['Men', 'Elite']",[],116,0,0,3,0,0,0
Dom Platt,19,United Kingdom,CONTINENTAL ATHERTON,"['Men', 'Junior']",[],12,1,6,14,0,0,0
Charlie Hatton,26,United Kingdom,CONTINENTAL ATHERTON,"['Men', 'Elite']",[],20,0,4,12,0,0,0
Andreas Kolb,28,Austria,CONTINENTAL ATHERTON,"['Men', 'Elite']",[],16,2,15,23,0,0,0
Harry MOLLOY,33,United Kingdom,CONTINENTAL NUKEPROOF FACTORY RACING,"['Men', 'Elite']",[],59,0,0,11,0,0,0
Veronika WIDMANN,31,Italy,CONTINENTAL NUKEPROOF FACTORY RACING,"['Women', 'Elite']",[],0,0,0,0,0,0,0
Christopher CUMMING,22,Ireland,CONTINENTAL NUKEPROOF FACTORY RACING,"['Men', 'Elite']",[],79,0,0,8,0,0,0
Ronan  Dunne,22,Ireland,CONTINENTAL NUKEPROOF FACTORY RACING,"['Men', 'Elite']",[],23,0,5,23,0,0,0
Louise FERGUSON,28,United Kingdom,CONTINENTAL NUKEPROOF FACTORY RACING,"['Women', 'Elite']",[],12,0,4,13,0,0,0
Harry Molloy,33,United Kingdom,CONTINENTAL NUKEPROOF FACTORY RACING,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Veronika Widmann,31,Italy,CONTINENTAL NUKEPROOF FACTORY RACING,"['Women', 'Elite']",[],11,0,11,20,0,0,0
Hugo PICHON,21,France,CREUSE MAINSAT EVAUX,"['U23', 'Men']","['XCO', 'XCC']",129,0,0,1,0,0,0
Thibault DANIEL,27,France,CREUSE MAINSAT EVAUX,"['Men', 'Elite']","['XCO', 'XCC']",80,0,0,6,0,0,0
Antoine TRAN VAN,20,France,CREUSE MAINSAT EVAUX,"['U23', 'Men']","['XCO', 'XCC']",58,0,0,6,0,0,0
Nathan CORNILLON,20,France,CREUSE MAINSAT EVAUX,"['Men', 'U23']","['XCO', 'XCC']",25,0,0,12,0,0,0
Daniele BRAIDOT,33,Italy,CS CARABINIERI - CICLI OLYMPIA VITTORIA,"['Men', 'Elite']","['XCO', 'XCC']",23,0,2,16,0,0,0
Filippo FONTANA,24,Italy,CS CARABINIERI - CICLI OLYMPIA VITTORIA,"['Men', 'Elite']","['XCO', 'XCC']",36,0,0,7,0,0,0
Emanuele HUEZ,23,Italy,CS CARABINIERI - CICLI OLYMPIA VITTORIA,"['U23', 'Men']","['XCO', 'XCC']",55,0,0,4,0,0,0
Veronika SEPP,29,Germany,CUBE ACTION TEAM,"['Women', 'Elite']",['EDR'],0,0,0,0,0,0,0
Jonas GÖWEIL,22,Austria,CUBE ACTION TEAM,"['Men', 'U21']",['EDR'],105,0,0,4,0,0,0
Hanna STEINTHALER,27,Austria,CUBE ACTION TEAM,"['Women', 'Elite']",['EDR'],28,0,0,5,0,0,0
Gustav WILDHABER,36,Switzerland,CUBE ACTION TEAM,[],[],54,0,1,4,0,0,0
Max HARTENSTERN,25,Germany,CUBE FACTORY RACING,"['Men', 'Elite']",[],20,0,1,20,0,0,0
Danny Hart,33,United Kingdom,CUBE FACTORY RACING,"['Men', 'Elite']",[],18,0,7,20,0,0,0
Simon Chapelet,22,France,CUBE FACTORY RACING,"['Men', 'Elite']",[],31,0,0,20,0,0,0
Fabian EDER,21,Germany,CUBE NEXT GENERATION XC,"['U23', 'Men']","['XCO', 'XCC']",55,0,0,8,0,0,0
Sven Strähle,29,Germany,CUBE NEXT GENERATION XC,"['Men', 'Elite']",[],71,0,0,8,0,0,0
Lars Gräter,20,Germany,CUBE NEXT GENERATION XC,"['U23', 'Men']",[],59,0,0,5,0,0,0
Kira Böhm,22,Germany,CUBE NEXT GENERATION XC,"['Women', 'U23']",[],11,0,8,13,0,0,0
Karel HNÍK,33,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Lubomír PETRUŠ,34,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Filip RYDVAL,28,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Jan STROŽ,35,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Tomas Moravek,25,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],44,0,0,2,0,0,0
Jakub ZEMENE,21,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],52,0,0,1,0,0,0
Jakub HNÍK,23,Czech Republic,D2MONT MERIDA,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Gregory CALLAGHAN,33,Ireland,DEVINCI GLOBAL RACING,"['Men', 'Elite']",['EDR'],27,1,1,8,0,0,0
Evan WALL,25,Canada,DEVINCI GLOBAL RACING,"['Men', 'Elite']",['EDR'],41,0,0,7,0,0,0
Georgia ASTLE,27,Canada,DEVINCI GLOBAL RACING,"['Women', 'Elite']",['EDR'],0,0,0,0,0,0,0
Tiago FERREIRA,36,Portugal,DMT RACING TEAM BY A.S.D. MARCONI PROJECT'S,"['Men', 'Elite']",['XCM'],22,0,1,2,0,0,0
Tomáš VIŠŇOVSKÝ,28,Slovakia,DMT RACING TEAM BY A.S.D. MARCONI PROJECT'S,"['Men', 'Elite']",['XCM'],0,0,0,0,0,0,0
Andreas MILTIADIS,28,Cyprus,DMT RACING TEAM BY A.S.D. MARCONI PROJECT'S,"['Men', 'Elite']",['XCM'],38,0,0,2,0,0,0
Ieva VENCKUTĖ,28,Lithuania,DMT RACING TEAM BY A.S.D. MARCONI PROJECT'S,"['Women', 'Elite']",['XCM'],0,0,0,0,0,0,0
Filipe FRANCISCO,26,Portugal,DMT RACING TEAM BY A.S.D. MARCONI PROJECT'S,"['Men', 'Elite']",['XCM'],44,0,0,1,0,0,0
Miran VAUH,42,Slovenia,DORVAL AM COMMENCAL,"['Men', 'Elite']",[],145,0,0,3,0,0,0
Baptiste PIERRON,31,France,DORVAL AM COMMENCAL,"['Men', 'Elite']",[],28,0,0,20,0,0,0
Samuel ZBINDEN,41,Switzerland,DORVAL AM COMMENCAL,"['Men', 'Elite']",[],148,0,0,3,0,0,0
Monika Hrastnik,30,Slovenia,DORVAL AM COMMENCAL,"['Women', 'Elite']",[],6,0,21,23,0,0,0
Benoit COULANGES,30,France,DORVAL AM COMMENCAL,"['Men', 'Elite']",[],11,5,14,17,0,0,0
Camille BALANCHE,34,Switzerland,DORVAL AM COMMENCAL,"['Women', 'Elite']",[],2,3,9,9,0,0,0
Dean LINDSEY,20,United States,EVOLVE RACING,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Colin MCELYEA,20,United States,EVOLVE RACING,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Evan MEDCALF,19,United States,EVOLVE RACING,"['Men', 'Junior']",[],11,0,6,13,0,0,0
Colin McElyea,20,United States,EVOLVE RACING,"['Men', 'Elite']",[],100,0,0,7,0,0,0
Dean Lindsey,20,United States,EVOLVE RACING,"['Men', 'Elite']",[],0,0,0,0,0,0,0
Robert HULA,24,Czech Republic,EXPRES CZ - TUFO TEAM KOLÍN,"['Men', 'Elite']","['XCO', 'XCC']",86,0,0,2,0,0,0
Tereza TVARŮŽKOVÁ,26,Czech Republic,EXPRES CZ - TUFO TEAM KOLÍN,"['Women', 'Elite']","['XCO', 'XCC']",57,0,0,1,0,0,0
Patrik ČERNÝ,20,Czech Republic,EXPRES CZ - TUFO TEAM KOLÍN,"['U23', 'Men']","['XCO', 'XCC']",96,0,0,3,0,0,0
Matej ULÍK,27,Slovakia,EXPRES CZ - TUFO TEAM KOLÍN,"['Men', 'Elite']","['XCO', 'XCC']",86,0,0,2,0,0,0
Jon MOZELL,18,Canada,FORBIDDEN SYNTHESIS TEAM,"['Men', 'Junior']",[],19,0,2,9,0,0,0
Rhys VERNER,27,Canada,FORBIDDEN SYNTHESIS TEAM,"['Men', 'Elite']",['EDR'],9,1,4,7,0,0,0
Alex STORR,23,United Kingdom,FORBIDDEN SYNTHESIS TEAM,"['Men', 'U21']",['EDR'],26,0,0,6,0,0,0
